MSE_f1_H,MSE_f2_H,q(t),H_ratio,MSE_f1_H_2,MSE_f2_H_2,q(t)_2,H_ratio_2
1.0121199661559034e-09,1.012371970640633e-09,0.0047344294701712,0.9989105181191829,1.0121199661559034e-09,1.012371970640633e-09,0.004734429470171264,0.9989105181191829
1.0127138481037814e-09,1.0129558952809112e-09,0.0047345858024818,0.9989104897298006,1.0127138481037814e-09,1.0129558952809112e-09,0.004734585802481872,0.9989104897298006
1.0132865729025043e-09,1.0135190499964098e-09,0.004734736786788,0.9989104623914206,1.0132865729025043e-09,1.0135190499964098e-09,0.004734736786788018,0.9989104623914206
1.0138388871251238e-09,1.0140621668002804e-09,0.0047348826074878,0.998910436064685,1.0138388871251238e-09,1.0140621668002804e-09,0.004734882607487801,0.998910436064685
1.0143715116498911e-09,1.0145859525176368e-09,0.004735023442551,0.9989104107117328,1.0143715116498913e-09,1.0145859525176368e-09,0.0047350234425510345,0.9989104107117328
1.0148851424915086e-09,1.015091089602661e-09,0.0047351594637584,0.9989103862961394,1.0148851424915086e-09,1.015091089602661e-09,0.004735159463758487,0.9989103862961394
1.0153804516097983e-09,1.0155782369332975e-09,0.0047352908369069,0.9989103627828634,1.0153804516097983e-09,1.0155782369332975e-09,0.004735290836906958,0.9989103627828634
1.0158580876961062e-09,1.0160480305834011e-09,0.0047354177220269,0.9989103401381916,1.0158580876961062e-09,1.0160480305834011e-09,0.004735417722026925,0.9989103401381915
1.016318676937611e-09,1.0165010845731855e-09,0.0047355402735889,0.9989103183296884,1.016318676937611e-09,1.0165010845731857e-09,0.004735540273588979,0.9989103183296884
1.016762823759601e-09,1.0169379915980856e-09,0.0047356586406916,0.9989102973261466,1.016762823759601e-09,1.0169379915980856e-09,0.004735658640691654,0.9989102973261466
1.017191111546602e-09,1.017359323736109e-09,0.0047357729672551,0.9989102770975392,1.017191111546602e-09,1.0173593237361093e-09,0.004735772967255115,0.9989102770975393
1.0176041033422751e-09,1.0177656331346196e-09,0.0047358833922039,0.9989102576149752,1.0176041033422753e-09,1.0177656331346196e-09,0.0047358833922039436,0.9989102576149751
1.018002342528795e-09,1.0181574526766627e-09,0.0047359900496411,0.9989102388506544,1.018002342528795e-09,1.0181574526766627e-09,0.004735990049641182,0.9989102388506544
1.01838635348565e-09,1.0185352966270028e-09,0.0047360930690194,0.998910220777828,1.01838635348565e-09,1.0185352966270028e-09,0.004736093069019476,0.9989102207778279
1.0187566422288682e-09,1.0188996612588072e-09,0.0047361925752998,0.9989102033707538,1.0187566422288682e-09,1.0188996612588072e-09,0.004736192575299803,0.9989102033707538
1.0191136970306015e-09,1.0192510254611415e-09,0.0047362886891148,0.9989101866046628,1.0191136970306015e-09,1.0192510254611415e-09,0.004736288689114821,0.9989101866046629
1.0194579890198675e-09,1.0195898513274571e-09,0.0047363815269179,0.998910170455718,1.0194579890198675e-09,1.019589851327457e-09,0.0047363815269179325,0.9989101704557181
1.0197899727643856e-09,1.0199165847260267e-09,0.0047364712011298,0.9989101549009805,1.0197899727643858e-09,1.0199165847260267e-09,0.004736471201129811,0.9989101549009803
1.0201100868345335e-09,1.0202316558525086e-09,0.0047365578202788,0.9989101399183749,1.0201100868345335e-09,1.0202316558525086e-09,0.004736557820278864,0.9989101399183747
1.02041875434957e-09,1.020535479764817e-09,0.0047366414891409,0.9989101254866548,1.0204187543495701e-09,1.0205354797648172e-09,0.00473664148914097,0.9989101254866549
1.0207163835063036e-09,1.0208284569012547e-09,0.0047367223088652,0.9989101115853748,1.0207163835063038e-09,1.0208284569012547e-09,0.004736722308865215,0.9989101115853747
1.0210033680911955e-09,1.0211109735821023e-09,0.0047368003771051,0.9989100981948548,1.0210033680911955e-09,1.0211109735821025e-09,0.004736800377105155,0.9989100981948547
1.021280087976029e-09,1.021383402494814e-09,0.0047368757881404,0.9989100852961552,1.021280087976029e-09,1.021383402494814e-09,0.004736875788140482,0.9989100852961553
1.021546909597355e-09,1.0216461031638255e-09,0.0047369486329926,0.9989100728710468,1.021546909597355e-09,1.0216461031638255e-09,0.004736948632992699,0.9989100728710468
1.0218041864206755e-09,1.0218994224049276e-09,0.0047370189995415,0.9989100609019836,1.0218041864206755e-09,1.0218994224049276e-09,0.004737018999541554,0.9989100609019835
1.0220522593893283e-09,1.0221436947649762e-09,0.0047370869726312,0.998910049372077,1.0220522593893283e-09,1.0221436947649764e-09,0.004737086972631244,0.998910049372077
1.0222914573588428e-09,1.022379242946857e-09,0.0047371526341806,0.9989100382650712,1.0222914573588428e-09,1.0223792429468573e-09,0.004737152634180641,0.9989100382650713
1.022522097516689e-09,1.0226063782208758e-09,0.0047372160632822,0.9989100275653188,1.022522097516689e-09,1.0226063782208758e-09,0.004737216063282235,0.9989100275653187
1.0227444857886031e-09,1.0228254008221181e-09,0.0047372773363003,0.9989100172577572,1.0227444857886031e-09,1.022825400822118e-09,0.004737277336300361,0.9989100172577573
1.022958917230897e-09,1.023036600334879e-09,0.0047373365269682,0.9989100073278888,1.022958917230897e-09,1.0230366003348793e-09,0.0047373365269682164,0.9989100073278888
1.0231656764102778e-09,1.0232402560642895e-09,0.0047373937064784,0.9989099977617556,1.0231656764102778e-09,1.0232402560642895e-09,0.00473739370647841,0.9989099977617556
1.023365037770418e-09,1.023436637395221e-09,0.0047374489435727,0.9989099885459218,1.023365037770418e-09,1.023436637395221e-09,0.0047374489435727755,0.9989099885459218
1.0235572659865604e-09,1.023626004139413e-09,0.0047375023046226,0.9989099796674538,1.0235572659865604e-09,1.023626004139413e-09,0.0047375023046226875,0.9989099796674538
1.023742616308168e-09,1.0238086068709104e-09,0.0047375538537176,0.9989099711138988,1.023742616308168e-09,1.0238086068709104e-09,0.004737553853717658,0.9989099711138988
1.023921334889732e-09,1.0239846872498362e-09,0.0047376036527423,0.9989099628732704,1.023921334889732e-09,1.0239846872498364e-09,0.00473760365274234,0.9989099628732705
1.024093659110659e-09,1.024154478335574e-09,0.0047376517614508,0.9989099549340276,1.024093659110659e-09,1.024154478335574e-09,0.004737651761450889,0.9989099549340275
1.024259817884098e-09,1.024318204889141e-09,0.0047376982375431,0.9989099472850594,1.024259817884098e-09,1.0243182048891413e-09,0.004737698237543198,0.9989099472850594
1.0244200319553894e-09,1.0244760836652111e-09,0.0047377431367384,0.9989099399156692,1.0244200319553896e-09,1.024476083665211e-09,0.004737743136738426,0.9989099399156692
1.0245745141901627e-09,1.0246283236941387e-09,0.0047377865128367,0.998909932815558,1.0245745141901627e-09,1.0246283236941387e-09,0.00473778651283674,0.9989099328155581
1.0247234698525523e-09,1.0247751265544258e-09,0.0047378284177921,0.99890992597481,1.0247234698525525e-09,1.0247751265544258e-09,0.004737828417792155,0.9989099259748099
1.0248670968739872e-09,1.024916686635869e-09,0.004737868901775,0.9989099193838776,1.0248670968739872e-09,1.0249166866358692e-09,0.004737868901775033,0.9989099193838776
1.025005586112736e-09,1.0250531913933866e-09,0.0047379080132331,0.998909913033569,1.025005586112736e-09,1.0250531913933868e-09,0.004737908013233194,0.998909913033569
1.0251391216041723e-09,1.0251848215923795e-09,0.0047379457989491,0.9989099069150325,1.0251391216041723e-09,1.0251848215923795e-09,0.0047379457989491945,0.9989099069150325
1.0252678808029163e-09,1.0253117515454292e-09,0.0047379823041045,0.9989099010197464,1.0252678808029163e-09,1.0253117515454292e-09,0.004737982304104582,0.9989099010197463
1.0253920348160387e-09,1.0254341493409872e-09,0.0047380175723287,0.998909895339504,1.0253920348160387e-09,1.0254341493409872e-09,0.004738017572328723,0.998909895339504
1.0255117486285143e-09,1.0255521770638228e-09,0.0047380516457533,0.998909889866404,1.0255117486285143e-09,1.0255521770638228e-09,0.004738051645753383,0.998909889866404
1.025627181320819e-09,1.02566599100808e-09,0.0047380845650698,0.9989098845928372,1.025627181320819e-09,1.02566599100808e-09,0.0047380845650698555,0.9989098845928371
1.0257384862786827e-09,1.0257757418829158e-09,0.0047381163695719,0.9989098795114776,1.0257384862786827e-09,1.0257757418829158e-09,0.00473811636957191,0.9989098795114776
1.0258458113957807e-09,1.0258815750106994e-09,0.004738147097206,0.9989098746152688,1.0258458113957807e-09,1.0258815750106996e-09,0.004738147097206081,0.9989098746152687
1.0259492992693383e-09,1.025983630518561e-09,0.0047381767846247,0.9989098698974168,1.0259492992693383e-09,1.025983630518561e-09,0.004738176784624715,0.9989098698974168
1.0260490873886238e-09,1.0260820435232294e-09,0.0047382054672194,0.9989098653513798,1.0260490873886238e-09,1.0260820435232296e-09,0.004738205467219414,0.9989098653513798
1.0261453083171211e-09,1.026176944309115e-09,0.0047382331791707,0.9989098609708564,1.0261453083171213e-09,1.026176944309115e-09,0.004738233179170703,0.9989098609708563
1.0262380898681347e-09,1.0262684585005831e-09,0.0047382599534937,0.9989098567497792,1.0262380898681347e-09,1.0262684585005833e-09,0.004738259953493729,0.9989098567497791
1.0263275552743887e-09,1.026356707227674e-09,0.0047382858220673,0.9989098526823048,1.0263275552743887e-09,1.026356707227674e-09,0.004738285822067323,0.9989098526823048
1.026413823351366e-09,1.0264418072865471e-09,0.0047383108156875,0.998909848762806,1.0264138233513661e-09,1.0264418072865471e-09,0.004738310815687586,0.9989098487628059
1.026497008655152e-09,1.0265238712937594e-09,0.0047383349640919,0.9989098449858628,1.0264970086551522e-09,1.0265238712937597e-09,0.004738334964091928,0.9989098449858627
1.0265772216347142e-09,1.026603007835429e-09,0.0047383582960019,0.998909841346256,1.0265772216347145e-09,1.026603007835429e-09,0.004738358296001932,0.998909841346256
